2017-12-12 06:54:08 status unpacked libgnutls-deb0-28:amd64 3.3.8-6+deb8u7
2017-12-12 06:54:08 status unpacked libgnutls-deb0-28:amd64 3.3.8-6+deb8u7
2017-12-12 06:54:08 install libidn11:amd64 <none> 1.29-1+deb8u2
2017-12-12 06:54:08 status half-installed libidn11:amd64 1.29-1+deb8u2
2017-12-12 06:54:08 status unpacked libidn11:amd64 1.29-1+deb8u2
2017-12-12 06:54:08 status unpacked libidn11:amd64 1.29-1+deb8u2
2017-12-12 06:54:08 install perl-modules:all <none> 5.20.2-3+deb8u9
2017-12-12 06:54:08 status half-installed perl-modules:all 5.20.2-3+deb8u9
2017-12-12 06:54:08 status unpacked perl-modules:all 5.20.2-3+deb8u9
2017-12-12 06:54:08 status unpacked perl-modules:all 5.20.2-3+deb8u9
2017-12-12 06:54:08 install perl:amd64 <none> 5.20.2-3+deb8u9
2017-12-12 06:54:08 status half-installed perl:amd64 5.20.2-3+deb8u9
2017-12-12 06:54:09 status unpacked perl:amd64 5.20.2-3+deb8u9
2017-12-12 06:54:09 status unpacked perl:amd64 5.20.2-3+deb8u9
2017-12-12 06:54:09 install libasan1:amd64 <none> 4.9.2-10
2017-12-12 06:54:09 status half-installed libasan1:amd64 4.9.2-10
2017-12-12 06:54:09 status unpacked libasan1:amd64 4.9.2-10
2017-12-12 06:54:09 status unpacked libasan1:amd64 4.9.2-10
2017-12-12 06:54:09 install libatomic1:amd64 <none> 4.9.2-10
2017-12-12 06:54:09 status half-installed libatomic1:amd64 4.9.2-10
2017-12-12 06:54:09 status unpacked libatomic1:amd64 4.9.2-10
2017-12-12 06:54:09 status unpacked libatomic1:amd64 4.9.2-10
2017-12-12 06:54:09 install libcilkrts5:amd64 <none> 4.9.2-10
2017-12-12 06:54:09 status half-installed libcilkrts5:amd64 4.9.2-10
2017-12-12 06:54:09 status unpacked libcilkrts5:amd64 4.9.2-10
2017-12-12 06:54:09 status unpacked libcilkrts5:amd64 4.9.2-10
2017-12-12 06:54:09 install libisl10:amd64 <none> 0.12.2-2
2017-12-12 06:54:09 status half-installed libisl10:amd64 0.12.2-2
2017-12-12 06:54:09 status unpacked libisl10:amd64 0.12.2-2
2017-12-12 06:54:09 status unpacked libisl10:amd64 0.12.2-2
2017-12-12 06:54:09 install libcloog-isl4:amd64 <none> 0.18.2-1+b2
2017-12-12 06:54:09 status half-installed libcloog-isl4:amd64 0.18.2-1+b2
2017-12-12 06:54:09 status unpacked libcloog-isl4:amd64 0.18.2-1+b2
2017-12-12 06:54:09 status unpacked libcloog-isl4:amd64 0.18.2-1+b2
2017-12-12 06:54:09 install libexpat1:amd64 <none> 2.1.0-6+deb8u4
